source_folder,file,target_collection,target_slug,status
150 pillar pages,bispecific-antibodies-for-blood-cancer-blinatumomab-mosunetuzumab-and-teclistamab-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,blood-cancer-treatment-costs-china-vs-india-vs-usa-detailed-comparison-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,bone-marrow-transplant-in-india-cmc-vellore-tata-memorial-and-apollo-compared-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,car-t-cell-therapy-in-china-how-to-access-axi-cel-and-relma-cel-for-usd-35-00055-000-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cll-treatment-when-to-start-btk-inhibitors-vs-venetoclax-and-del17p-management-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cml-and-tyrosine-kinase-inhibitors-imatinib-dasatinib-and-treatment-free-remission-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,dlbcl-treatment-guide-r-chop-car-t-and-what-to-do-at-relapse-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,getting-a-second-opinion-on-blood-cancer-treatment-in-china-or-india-through-cancerfax-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,haploidentical-transplant-the-beijing-protocol-and-why-it-matters-for-patients-without-matched-donors-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,hodgkin-lymphoma-abvd-pet-adapted-treatment-and-cures-in-advanced-disease-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,mrd-minimal-residual-disease-testing-what-it-is-and-why-it-changes-your-treatment-plan-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,multiple-myeloma-induction-therapy-vrd-dara-vrd-and-choosing-the-right-triplet-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,nk-t-cell-lymphoma-enktl-l-asparaginase-regimens-and-china-s-clinical-leadership-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-the-difference-between-leukemia-lymphoma-and-myeloma-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,zanubrutinib-brukinsa-china-s-best-in-class-btk-inhibitor-for-cll-and-mcl-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,5-ala-fluorescence-guided-brain-tumor-surgery-seeing-cancer-cells-the-eye-cannot-detect-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,awake-craniotomy-what-it-involves-who-needs-it-and-what-centers-perform-it-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,brain-metastases-surgery-vs-gamma-knife-vs-whole-brain-radiation-how-to-choose-faq-section.json,guides,brain-metastases-surgery-gamma-knife-wbrt,DONE - verified live now
150 pillar pages,brain-tumor-treatment-costs-china-vs-india-vs-usa-detailed-comparison-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,brain-tumor-treatment-in-china-tiantan-hospital-beijing-and-the-shanghai-proton-center-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,gamma-knife-radiosurgery-for-brain-tumors-and-brain-metastases-a-patient-guide-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,getting-a-second-opinion-on-brain-tumor-treatment-in-china-or-india-through-cancerfax-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,idh-mutation-in-brain-tumors-what-it-means-and-why-it-matters-for-prognosis-and-treatment-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,intraoperative-mri-for-brain-tumor-surgery-how-real-time-imaging-improves-resection-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,medulloblastoma-in-children-molecular-subgroups-treatment-and-long-term-outcomes-faq-section.json,guides,medulloblastoma-children-treatment,DONE - verified live now
150 pillar pages,meningioma-treatment-surgery-gamma-knife-and-when-observation-is-appropriate-faq-section.json,guides,meningioma-treatment-surgery-gamma-knife,DONE - verified live now
150 pillar pages,mgmt-methylation-testing-why-it-is-essential-before-starting-gbm-treatment-faq-section.json,guides,mgmt-methylation-gbm-testing,DONE - verified live now
150 pillar pages,oligodendroglioma-and-1p-19q-co-deletion-the-most-curable-high-grade-brain-tumor-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,onc201-for-h3k27m-mutant-diffuse-midline-glioma-who-is-eligible-and-how-to-access-it-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,primary-cns-lymphoma-pcnsl-high-dose-methotrexate-ibrutinib-and-treatment-in-china-faq-section.json,guides,primary-cns-lymphoma-pcnsl-treatment,DONE - verified live now
150 pillar pages,proton-and-carbon-ion-therapy-for-brain-tumors-at-the-shanghai-proton-and-heavy-ion-center-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,the-stupp-protocol-explained-surgery-radiation-and-temozolomide-for-gbm-faq-section.json,guides,stupp-protocol-gbm-treatment,DONE - verified live now
150 pillar pages,tumor-treating-fields-ttfields-optune-how-it-works-and-who-should-use-it-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,vorasidenib-for-idh-mutant-grade-2-glioma-the-indigo-trial-and-what-it-means-for-patients-faq-section.json,guides,vorasidenib-idh-mutant-grade-2-glioma-indigo-trial,DONE - verified live now
150 pillar pages,what-is-glioblastoma-gbm-understanding-the-most-aggressive-brain-tumor-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,bone-metastases-in-breast-cancer-bisphosphonates-denosumab-and-radiation-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,brain-metastases-in-her2-positive-breast-cancer-treatment-options-including-pyrotinib-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,brca-testing-for-breast-cancer-what-it-means-and-what-to-do-next-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,breast-cancer-treatment-costs-china-vs-india-vs-usaa-detailed-comparison-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,breast-cancer-treatment-in-china-hospitals-costs-and-what-to-expect-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,breast-reconstruction-after-mastectomy-a-complete-guide-to-options-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,breast-conserving-surgery-vs-mastectomy-how-to-decide-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cdk4-6-inhibitors-for-breast-cancer-palbociclib-ribociclib-and-abemaciclib-compared-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,getting-a-second-opinion-on-breast-cancer-treatment-in-china-through-cancerfax-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,her2-positive-breast-cancer-a-complete-guide-for-patients-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,metastatic-breast-cancer-treatment-goals-sequencing-and-life-expectancy-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,neoadjuvant-chemotherapy-for-breast-cancer-what-happens-before-surgery-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,olaparib-and-talazoparib-for-brca-mutated-breast-cancer-a-patient-guide-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,oncotype-dx-and-genomic-testing-for-early-breast-cancer-do-i-need-chemotherapy-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,pyrotinib-for-her2-positive-breast-cancer-china-s-approved-alternative-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,radiation-therapy-for-breast-cancer-modern-techniques-and-what-patients-experience-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,sacituzumab-govitecan-trodelvy-for-triple-negative-breast-cancer-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,trastuzumab-deruxtecan-t-dxd-enhertu-who-is-eligible-and-what-to-expect-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,triple-negative-breast-cancer-immunotherapy-parp-inhibitors-and-new-treatment-options-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-do-er-pr-and-her2-status-mean-for-my-breast-cancer-treatment-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cea-ca19-9-afp-and-psa-how-to-understand-tumor-marker-results-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,diagnosing-cancer-without-enough-tissue-when-re-biopsy-is-needed-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,dicom-files-what-they-are-and-how-to-get-them-for-your-imaging-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,how-to-collect-and-organize-your-medical-records-for-a-second-opinion-abroad-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,how-to-read-a-ct-scan-report-understanding-radiology-language-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,how-to-read-an-ngs-next-generation-sequencing-cancer-report-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,how-to-read-your-pathology-report-a-plain-language-guide-for-patients-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,liquid-biopsy-and-ctdna-blood-based-cancer-testing-explained-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,missing-biomarker-tests-what-to-do-when-your-molecular-profiling-is-incomplete-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,molecular-profiling-for-cancer-what-tests-you-need-and-why-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,pet-ct-explained-what-suv-means-and-when-pet-ct-changes-management-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,stage-i-to-stage-iv-what-each-stage-means-for-treatment-and-prognosis-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,the-tnm-staging-system-explained-what-t-n-and-m-mean-for-each-cancer-type-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,understanding-ki-67-what-the-proliferation-rate-means-for-your-cancer-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-a-vus-variant-of-uncertain-significance-in-a-genetic-test-result-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-immunohistochemistry-ihc-and-why-does-it-matter-for-your-diagnosis-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-msi-and-msi-h-the-biomarker-that-opens-immunotherapy-across-all-cancers-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-staging-laparoscopy-and-why-is-it-mandatory-for-gastric-cancer-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-tmb-tumor-mutational-burden-and-why-does-it-matter-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-staging-investigations-are-required-for-my-specific-cancer-type-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,checkpoint-inhibitors-explained-faq-section.json,insights,checkpoint-inhibitors-explained,DONE - verified live now
150 pillar pages,clinical-trials-in-immunotherapy-faq-section.json,insights,clinical-trials-in-immunotherapy,DONE - verified live now
150 pillar pages,combination-immunotherapy-approaches-faq-section.json,insights,combination-immunotherapy-approaches,DONE - verified live now
150 pillar pages,cost-of-immunotherapy-worldwide-faq-section.json,insights,cost-of-immunotherapy-worldwide,DONE - verified live now
150 pillar pages,eligibility-for-immunotherapy-faq-section.json,insights,eligibility-for-immunotherapy,DONE - verified live now
150 pillar pages,future-of-cancer-immunotherapy-faq-section.json,insights,future-of-cancer-immunotherapy,DONE - verified live now
150 pillar pages,how-immunotherapy-works-faq-section.json,insights,how-immunotherapy-works,DONE - verified live now
150 pillar pages,immune-related-adverse-events-faq-section.json,insights,immune-related-adverse-events,DONE - verified live now
150 pillar pages,immunotherapy-for-bladder-cancer-faq-section.json,insights,immunotherapy-for-bladder-cancer,DONE - verified live now
150 pillar pages,immunotherapy-for-colorectal-cancer-faq-section.json,insights,immunotherapy-for-colorectal-cancer,DONE - verified live now
150 pillar pages,immunotherapy-for-kidney-cancer-faq-section.json,insights,immunotherapy-for-kidney-cancer,DONE - verified live now
150 pillar pages,immunotherapy-for-lung-cancer-faq-section.json,insights,immunotherapy-for-lung-cancer,DONE - verified live now
150 pillar pages,immunotherapy-for-melanoma-faq-section.json,insights,immunotherapy-for-melanoma,DONE - verified live now
150 pillar pages,immunotherapy-vs-targeted-therapy-faq-section.json,insights,targeted-therapy-vs-immunotherapy,DONE - verified live now
150 pillar pages,monoclonal-antibodies-in-cancer-faq-section.json,insights,monoclonal-antibodies-in-cancer,DONE - verified live now
150 pillar pages,side-effects-of-immunotherapy-faq-section.json,insights,side-effects-of-immunotherapy,DONE - verified live now
150 pillar pages,success-rates-of-immunotherapy-faq-section.json,insights,success-rates-of-immunotherapy,DONE - verified live now
150 pillar pages,types-of-cancer-immunotherapy-faq-section.json,insights,types-of-cancer-immunotherapy,DONE - verified live now
150 pillar pages,what-is-cancer-immunotherapy-faq-section.json,insights,what-is-cancer-immunotherapy,DONE - verified live now
150 pillar pages,bispecific-car-nk-cells-targeting-two-antigens-to-prevent-antigen-escape-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,car-nk-clinical-trials-in-china-a-guide-to-the-major-programs-and-eligibility-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,car-nk-therapy-for-aml-why-nk-cells-may-succeed-where-car-t-has-struggled-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,car-nk-therapy-for-patients-who-have-relapsed-after-car-t-what-the-options-are-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,car-nk-vs-car-t-a-comparison-guide-for-patients-choosing-between-cellular-therapies-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cd19-directed-car-nk-therapy-for-b-cell-lymphoma-what-the-trial-data-shows-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cord-blood-derived-car-nk-cells-the-md-anderson-trial-that-changed-the-field-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cost-of-car-nk-therapy-clinical-trial-access-vs-future-commercial-pricing-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,gpc3-directed-car-nk-for-hepatocellular-carcinoma-chinese-clinical-trials-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,her2-directed-car-nk-therapy-for-breast-cancer-and-gastric-cancer-china-s-program-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,how-to-access-a-car-nk-cell-therapy-clinical-trial-in-china-through-cancerfax-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,india-s-car-nk-program-immunoact-s-platform-and-academic-centre-development-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,ipsc-derived-nk-cells-the-future-of-scalable-car-nk-manufacturing-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,nkg2d-car-nk-cells-targeting-cancer-across-multiple-tumor-types-with-one-receptor-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,questions-to-ask-your-oncologist-about-car-nk-cell-therapy-clinical-trials-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-are-natural-killer-cells-and-how-do-they-fight-cancer-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-happens-during-a-car-nk-cell-therapy-trial-the-complete-patient-journey-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-an-off-the-shelf-cell-therapy-and-why-it-matters-for-access-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,what-is-car-nk-cell-therapy-and-how-is-it-different-from-car-t-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,why-car-nk-therapy-causes-less-crs-and-icans-than-car-t-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,cancers-treated-with-car-t-therapy-faq-section.json,insights,cancers-treated-with-car-t-therapy,DONE - verified live now
150 pillar pages,car-t-clinical-trials-faq-section.json,insights,car-t-clinical-trials,DONE - verified live now
150 pillar pages,car-t-therapy-for-leukemia-faq-section.json,guides,car-t-cell-therapy-for-leukemia,DONE - verified live now
150 pillar pages,car-t-therapy-for-lymphoma-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,car-t-therapy-for-multiple-myeloma-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,car-t-therapy-for-solid-tumors-faq-section.json,treatments,car-t-cell-therapy-for-solid-tumors,DONE - verified live now
150 pillar pages,car-t-treatment-process-faq-section.json,insights,car-t-treatment-process,DONE - verified live now
150 pillar pages,car-t-vs-bone-marrow-transplant-faq-section.json,insights,car-t-vs-bone-marrow-transplant,DONE - verified live now
150 pillar pages,car-t-vs-til-therapy-faq-section.json,insights,car-t-vs-til-therapy,DONE - verified live now
150 pillar pages,cost-of-car-t-therapy-worldwide-faq-section.json,insights,cost-of-car-t-therapy-worldwide,DONE - verified live now
150 pillar pages,cytokine-release-syndrome-explained-faq-section.json,insights,cytokine-release-syndrome-explained,DONE - verified live now
150 pillar pages,eligibility-for-car-t-therapy-faq-section.json,insights,eligibility-for-car-t-therapy,DONE - verified live now
150 pillar pages,future-of-car-t-therapy-faq-section.json,insights,future-of-car-t-therapy,DONE - verified live now
150 pillar pages,hospital-stay-for-car-t-therapy-faq-section.json,insights,hospital-stay-for-car-t-therapy,DONE - verified live now
150 pillar pages,how-car-t-therapy-works-faq-section.json,insights,how-car-t-therapy-works,DONE - verified live now
150 pillar pages,questions-patients-should-ask-faq-section.json,insights,questions-patients-should-ask,DONE - verified live now
150 pillar pages,side-effects-of-car-t-therapy-faq-section.json,insights,side-effects-of-car-t-therapy,DONE - verified live now
150 pillar pages,success-rates-of-car-t-therapy-faq-section.json,insights,success-rates-of-car-t-therapy,DONE - verified live now
150 pillar pages,tests-required-before-car-t-therapy-faq-section.json,insights,tests-required-before-car-t-therapy,DONE - verified live now
150 pillar pages,what-is-car-t-cell-therapy-faq-section.json,insights,what-is-car-t-cell-therapy,DONE - verified live now
150 pillar pages,benefits-and-risks-of-clinical-trials-faq-section.json,insights,benefits-and-risks-of-clinical-trials,DONE - verified live now
150 pillar pages,clinical-trials-at-leading-cancer-centers-faq-section.json,insights,clinical-trials-at-leading-cancer-centers,DONE - verified live now
150 pillar pages,clinical-trials-for-stage-4-cancer-faq-section.json,insights,clinical-trials-stage-4-cancer,DONE - verified live now
150 pillar pages,compassionate-use-programs-faq-section.json,insights,compassionate-use-programs,DONE - verified live now
150 pillar pages,cost-of-participating-in-clinical-trials-faq-section.json,insights,cost-of-participating-in-clinical-trials,DONE - verified live now
150 pillar pages,eligibility-for-clinical-trials-faq-section.json,insights,eligibility-for-clinical-trials,DONE - verified live now
150 pillar pages,expanded-access-programs-faq-section.json,insights,expanded-access-programs,DONE - verified live now
150 pillar pages,how-cancerfax-helps-with-trial-access-faq-section.json,insights,how-cancerfax-helps-with-trial-access,DONE - verified live now
150 pillar pages,how-results-are-measured-in-trials-faq-section.json,insights,how-results-are-measured-in-clinical-trials,DONE - verified live now
150 pillar pages,how-to-apply-for-a-clinical-trial-faq-section.json,insights,how-to-apply-for-a-clinical-trial,DONE - verified live now
150 pillar pages,how-to-find-a-clinical-trial-faq-section.json,insights,how-to-find-a-clinical-trial,DONE - verified live now
